N,ApproximateArea,RelativeError,TimeMs
100,0.9996,0.0583185,0
600,0.966933,0.0237329,0
1100,0.988909,0.0469996,0
1600,0.90405,0.0428443,0
2100,0.908133,0.0385211,0
2600,0.937785,0.00712806,1
3100,0.940168,0.00460494,1
3600,0.9506,0.00644013,1
4100,0.940322,0.00444167,1
4600,0.95273,0.00869571,2
5100,0.954251,0.0103056,2
5600,0.9401,0.00467666,2
6100,0.970039,0.0270214,2
6600,0.972576,0.0297068,2
7100,0.947977,0.00366354,2
7600,0.941058,0.0036625,3
8100,0.942978,0.00162984,3
8600,0.940344,0.00441813,3
9100,0.950708,0.00655415,3
9600,0.929979,0.015392,4
10100,0.938277,0.00660651,4
10600,0.923419,0.0223377,4
11100,0.949982,0.00578581,4
11600,0.954655,0.0107335,4
12100,0.955702,0.0118423,4
12600,0.942044,0.002618,5
13100,0.953069,0.00905385,5
13600,0.947141,0.00277813,5
14100,0.940383,0.00437706,5
14600,0.959863,0.0162473,6
15100,0.939632,0.00517238,6
15600,0.936026,0.00899036,6
16100,0.945061,0.000575621,6
16600,0.945405,0.000939775,6
17100,0.938393,0.00648395,6
17600,0.94893,0.00467155,7
18100,0.954769,0.0108541,7
18600,0.932897,0.012303,7
19100,0.929204,0.0162125,7
19600,0.9301,0.0152641,7
20100,0.949966,0.00576907,7
20600,0.953359,0.00936144,8
21100,0.955663,0.0118001,8
21600,0.937261,0.00768231,8
22100,0.951531,0.00742605,8
22600,0.941494,0.00320098,8
23100,0.939867,0.0049237,8
23600,0.947278,0.00292295,9
24100,0.949909,0.00570824,9
24600,0.950361,0.00618707,9
25100,0.940175,0.00459694,9
25600,0.948839,0.00457575,9
26100,0.935693,0.00934202,9
26600,0.932842,0.0123609,9
27100,0.937545,0.00738134,10
27600,0.935261,0.00980005,10
28100,0.951611,0.00751093,10
28600,0.938607,0.00625737,10
29100,0.942686,0.00193885,10
29600,0.952123,0.00805257,10
30100,0.946074,0.00164871,10
30600,0.945604,0.00115057,11
31100,0.947985,0.00367106,11
31600,0.943281,0.00130879,11
32100,0.959057,0.0153936,11
32600,0.946512,0.00211163,11
33100,0.94755,0.00321145,11
33600,0.94465,0.000140616,11
34100,0.938846,0.00600459,11
34600,0.942556,0.00207632,11
35100,0.948283,0.00398662,12
35600,0.944379,0.000146672,12
36100,0.943949,0.00060153,12
36600,0.948404,0.00411553,12
37100,0.942755,0.001866,12
37600,0.941373,0.00332845,12
38100,0.934678,0.0104169,12
38600,0.940089,0.00468818,12
39100,0.944259,0.000273539,12
39600,0.949412,0.00518247,12
40100,0.94906,0.00481004,13
40600,0.949683,0.00546901,13
41100,0.948096,0.00378941,13
41600,0.942638,0.0019901,13
42100,0.940893,0.00383696,13
42600,0.952394,0.0083399,13
43100,0.938208,0.00667992,13
43600,0.947813,0.00348925,13
