N,ApproximateArea,RelativeError,TimeMs
100,0.99,0.0481546,0
600,1.05,0.111679,0
1100,0.875455,0.0731195,0
1600,0.95625,0.012422,1
2100,0.942857,0.00175756,1
2600,0.965769,0.0225004,1
3100,0.934839,0.010247,2
3600,1.0175,0.07727,2
4100,0.954878,0.0109695,2
4600,1.01543,0.0750834,2
5100,0.910588,0.035922,3
5600,0.988393,0.046453,3
6100,0.978197,0.0356579,4
6600,0.983182,0.0409359,4
7100,0.99507,0.0535228,4
7600,0.963947,0.0205716,4
8100,0.958889,0.0152159,5
8600,0.935581,0.0094607,5
9100,0.972198,0.0293066,5
9600,0.920625,0.0252957,6
10100,0.96505,0.0217384,6
10600,0.965377,0.0220855,6
11100,1.00378,0.062748,6
11600,0.955086,0.0111899,7
12100,0.926777,0.0187824,7
12600,0.940714,0.00402629,7
13100,0.931603,0.0136727,8
13600,1.00059,0.0593648,8
14100,0.916596,0.0295616,8
14600,0.91726,0.028858,9
15100,0.930397,0.0149493,9
15600,0.916154,0.0300295,9
16100,0.964845,0.0215216,10
16600,0.950422,0.00625134,10
17100,0.915263,0.0309725,10
17600,0.964943,0.0216259,11
18100,0.985525,0.0434165,11
18600,0.953226,0.00922018,11
19100,0.948534,0.0042528,11
19600,0.908265,0.0383814,12
20100,0.96806,0.0249254,12
20600,0.925777,0.0198413,12
21100,0.911517,0.0349391,13
21600,0.939167,0.00566482,13
22100,0.95905,0.0153863,13
22600,0.96292,0.0194842,14
23100,0.947922,0.0036049,14
23600,0.969788,0.0267554,14
24100,0.964979,0.021664,15
24600,0.938415,0.00646103,15
25100,0.934422,0.0106879,15
25600,0.92707,0.0184717,15
26100,0.958966,0.0152971,16
26600,0.961241,0.0177058,16
27100,0.934871,0.010213,16
27600,0.912391,0.034013,17
28100,0.954769,0.0108537,17
28600,0.941853,0.00282053,17
29100,0.955361,0.0114806,18
29600,0.934966,0.010112,18
30100,0.939767,0.00502875,18
30600,0.948824,0.00455931,19
31100,0.926624,0.0189445,19
31600,0.961234,0.017699,19
32100,0.962804,0.0193607,20
32600,0.937546,0.00738067,20
33100,0.965257,0.0219579,20
33600,0.940179,0.00459347,21
34100,0.957801,0.0140637,21
34600,0.911445,0.0350148,21
35100,0.914103,0.0322012,21
35600,0.944747,0.000243516,22
36100,0.948615,0.00433848,22
36600,0.938115,0.00677852,22
37100,0.958706,0.0150225,23
37600,0.952181,0.00811384,23
38100,0.957402,0.0136412,23
38600,0.93101,0.0143002,24
39100,0.97757,0.0349948,24
39600,0.945909,0.00147367,24
40100,0.951172,0.00704581,25
40600,0.94367,0.000897003,25
41100,0.947956,0.00364103,25
41600,0.934832,0.0102544,25
42100,0.941045,0.00367601,26
42600,0.937394,0.00754123,26
43100,0.955128,0.0112337,26
43600,0.970183,0.027174,27
44100,0.936735,0.00823965,27
44600,0.930269,0.0150851,27
45100,0.95388,0.00991309,28
45600,0.941842,0.00283222,28
46100,0.940607,0.00413948,28
46600,0.928391,0.0170739,29
47100,0.955796,0.0119415,29
47600,0.952374,0.00831829,29
48100,0.952765,0.00873238,30
48600,0.960741,0.0171766,30
49100,0.947841,0.00351921,30
49600,0.960242,0.0166485,30
50100,0.938623,0.00624068,31
50600,0.95247,0.00842035,31
51100,0.949139,0.00489325,31
51600,0.943605,0.000966139,32
52100,0.944223,0.000311839,32
52600,0.954068,0.0101123,32
53100,0.926271,0.0193178,33
53600,0.942817,0.00179988,33
54100,0.933438,0.0117299,33
54600,0.937582,0.00734213,34
55100,0.953739,0.00976316,34
55600,0.928165,0.0173123,34
56100,0.938663,0.00619796,35
56600,0.954382,0.0104439,35
57100,0.920648,0.0252713,35
57600,0.935312,0.00974539,35
58100,0.955766,0.0119095,36
58600,0.935939,0.00908254,36
59100,0.932437,0.0127903,36
59600,0.946661,0.00226982,37
60100,0.939834,0.0049587,37
60600,0.945446,0.000982892,37
61100,0.94964,0.00542367,38
61600,0.954205,0.0102564,38
62100,0.925072,0.0205869,38
62600,0.949744,0.00553428,39
63100,0.945784,0.00134173,39
63600,0.960708,0.0171414,39
64100,0.957847,0.014113,40
64600,0.937477,0.00745397,40
65100,0.943963,0.000586598,40
65600,0.946646,0.00225423,40
66100,0.95174,0.00764687,41
66600,0.948649,0.00437415,41
67100,0.943458,0.00112191,41
67600,0.966302,0.0230643,42
68100,0.930529,0.0148103,42
68600,0.940671,0.00407259,42
69100,0.948061,0.00375175,43
69600,0.969052,0.0259757,43
70100,0.955464,0.0115895,43
70600,0.953159,0.00914907,44
71100,0.941646,0.0030403,44
71600,0.94676,0.00237432,44
72100,0.947309,0.00295612,44
72600,0.944752,0.000248678,45
73100,0.94383,0.000727162,45
73600,0.958451,0.0147524,45
74100,0.948947,0.00469042,46
74600,0.951515,0.00740861,46
75100,0.944461,5.97838e-05,46
75600,0.945476,0.00101534,47
76100,0.945296,0.000824207,47
76600,0.942533,0.00210113,47
77100,0.945992,0.00156168,48
77600,0.94442,0.000102786,48
78100,0.956351,0.0125288,48
78600,0.944771,0.000268716,49
79100,0.94756,0.00322161,49
79600,0.967161,0.0239737,49
80100,0.945281,0.000808575,50
80600,0.94567,0.00122051,50
81100,0.956375,0.0125542,50
81600,0.953824,0.00985302,50
82100,0.948782,0.00451531,51
82600,0.93454,0.0105633,51
83100,0.952094,0.00802175,51
83600,0.947476,0.0031327,52
84100,0.926433,0.0191467,52
84600,0.953085,0.00907122,52
85100,0.949177,0.004934,53
85600,0.947523,0.00318277,53
86100,0.946098,0.00167321,53
86600,0.9503,0.00612275,54
87100,0.944535,1.88788e-05,54
87600,0.930616,0.0147173,54
88100,0.946277,0.00186314,55
88600,0.939616,0.00518882,55
89100,0.928283,0.017188,56
89600,0.941183,0.00353,55
90100,0.941154,0.00356046,56
90600,0.938344,0.00653542,56
91100,0.939418,0.00539849,56
91600,0.93655,0.00843496,55
92100,0.94202,0.00264436,54
92600,0.962106,0.0186218,53
93100,0.918754,0.0272765,52
93600,0.934808,0.0102798,51
94100,0.939118,0.00571639,50
94600,0.945,0.000511176,49
95100,0.938328,0.00655267,48
95600,0.954132,0.0101794,47
96100,0.949355,0.00512183,46
96600,0.951708,0.0076133,46
97100,0.938095,0.0067997,45
97600,0.942049,0.00261298,44
98100,0.955046,0.0111472,43
98600,0.934229,0.0108923,43
99100,0.938779,0.00607525,42
99600,0.950151,0.00596433,41
