Size,Time
500,5
600,6
700,9
800,10
900,10
1000,11
1100,12
1200,13
1300,14
1400,20
1500,20
1600,21
1700,22
1800,22
1900,23
2000,24
2100,25
2200,26
2300,26
2400,27
2500,28
2600,31
2700,36
2800,42
2900,43
3000,44
3100,60
3200,58
3300,65
3400,50
3500,55
3600,51
3700,56
3800,49
3900,50
4000,52
4100,52
4200,53
4300,54
4400,55
4500,75
4600,70
4700,60
4800,58
4900,59
5000,60
5100,61
5200,67
5300,72
5400,77
5500,90
5600,89
5700,91
5800,93
5900,93
6000,94
6100,94
6200,94
6300,95
6400,95
6500,96
6600,96
6700,97
6800,98
6900,119
7000,99
7100,100
7200,105
7300,109
7400,103
7500,106
7600,107
7700,106
7800,107
7900,108
8000,110
8100,109
8200,110
8300,114
8400,114
8500,115
8600,115
8700,116
8800,195
8900,198
9000,203
9100,198
9200,121
9300,124
9400,124
9500,125
9600,127
9700,126
9800,131
9900,128
10000,129
10100,130
10200,133
10300,135
10400,141
10500,164
10600,152
10700,157
10800,164
10900,168
11000,184
11100,185
11200,192
11300,186
11400,190
11500,194
11600,198
11700,210
11800,196
11900,196
12000,196
12100,197
12200,197
12300,194
12400,195
12500,200
12600,199
12700,205
12800,203
12900,199
13000,204
13100,204
13200,205
13300,204
13400,205
13500,208
13600,209
13700,223
13800,210
13900,209
14000,210
14100,215
14200,213
14300,217
14400,216
14500,216
14600,216
14700,219
14800,221
14900,228
15000,230
15100,229
15200,228
15300,230
15400,226
15500,242
15600,243
15700,231
15800,231
15900,234
16000,241
16100,238
16200,243
16300,235
16400,237
16500,237
16600,243
16700,259
16800,251
16900,256
17000,269
17100,266
17200,257
17300,264
17400,262
17500,263
17600,263
17700,272
17800,269
17900,267
18000,271
18100,281
18200,274
18300,276
18400,283
18500,298
18600,289
18700,287
18800,292
18900,282
19000,283
19100,288
19200,292
19300,293
19400,288
19500,290
19600,292
19700,342
19800,294
19900,306
20000,296
20100,298
20200,316
20300,308
20400,310
20500,303
20600,318
20700,316
20800,337
20900,350
21000,332
21100,348
21200,359
21300,351
21400,358
21500,367
21600,372
21700,376
21800,384
21900,389
22000,409
22100,398
22200,405
22300,417
22400,414
22500,419
22600,414
22700,439
22800,416
22900,434
23000,431
23100,431
23200,628
23300,449
23400,452
23500,439
23600,462
23700,453
23800,452
23900,439
24000,440
24100,447
24200,461
24300,441
24400,445
24500,452
24600,444
24700,456
24800,444
24900,459
25000,450
25100,454
25200,458
25300,466
25400,463
25500,466
25600,463
25700,480
25800,475
25900,472
26000,482
26100,483
26200,471
26300,482
26400,479
26500,481
26600,471
26700,481
26800,490
26900,482
27000,495
27100,491
27200,487
27300,484
27400,496
27500,501
27600,491
27700,509
27800,493
27900,497
28000,490
28100,493
28200,498
28300,502
28400,502
28500,495
28600,499
28700,511
28800,501
28900,510
29000,514
29100,524
29200,507
29300,512
29400,662
29500,538
29600,516
29700,517
29800,538
29900,522
30000,529
30100,558
30200,524
30300,531
30400,528
30500,523
30600,556
30700,535
30800,531
30900,542
31000,541
31100,541
31200,542
31300,543
31400,550
31500,564
31600,576
31700,557
31800,557
31900,559
32000,563
32100,559
32200,564
32300,570
32400,570
32500,567
32600,568
32700,559
32800,558
32900,509
33000,561
33100,519
33200,582
33300,573
33400,519
33500,620
33600,527
33700,585
33800,585
33900,585
34000,581
34100,585
34200,590
34300,592
34400,599
34500,607
34600,590
34700,589
34800,588
34900,597
35000,610
35100,607
35200,604
35300,606
35400,601
35500,605
35600,608
35700,610
35800,602
35900,613
36000,618
36100,622
36200,613
36300,619
36400,621
36500,625
36600,626
36700,623
36800,619
36900,616
37000,625
37100,627
37200,639
37300,634
37400,633
37500,640
37600,641
37700,642
37800,642
37900,629
38000,640
38100,646
38200,649
38300,642
38400,643
38500,651
38600,662
38700,658
38800,657
38900,656
39000,668
39100,672
39200,663
39300,661
39400,672
39500,663
39600,670
39700,670
39800,669
39900,665
40000,661
40100,668
40200,710
40300,686
40400,675
40500,663
40600,693
40700,674
40800,669
40900,672
41000,671
41100,728
41200,697
41300,697
41400,705
41500,722
41600,741
41700,732
41800,735
41900,736
42000,749
42100,746
42200,751
42300,763
42400,760
42500,772
42600,787
42700,784
42800,816
42900,784
43000,808
43100,795
43200,811
43300,821
43400,834
43500,830
43600,839
43700,843
43800,844
43900,836
44000,853
44100,852
44200,850
44300,872
44400,869
44500,878
44600,880
44700,878
44800,892
44900,899
45000,893
45100,905
45200,904
45300,905
45400,912
45500,912
45600,919
45700,917
45800,920
45900,923
46000,919
46100,930
46200,925
46300,934
46400,946
46500,947
46600,944
46700,946
46800,948
46900,940
47000,946
47100,961
47200,955
47300,944
47400,938
47500,943
47600,949
47700,956
47800,956
47900,947
48000,951
48100,956
48200,965
48300,955
48400,960
48500,939
48600,961
48700,970
48800,955
48900,959
49000,957
49100,964
49200,1006
49300,973
49400,984
49500,959
49600,969
49700,964
49800,977
49900,982
50000,975
50100,980
50200,974
50300,973
50400,983
50500,977
50600,981
50700,987
50800,989
50900,994
51000,987
51100,994
51200,983
51300,991
51400,1003
51500,1004
51600,1008
51700,1007
51800,997
51900,998
52000,1010
52100,1003
52200,1004
52300,1004
52400,1007
52500,1014
52600,1015
52700,1025
52800,1016
52900,1010
53000,1024
53100,1019
53200,1015
53300,1012
53400,1008
53500,1017
53600,1011
53700,1019
53800,1018
53900,1027
54000,1025
54100,1023
54200,1032
54300,1027
54400,1030
54500,1037
54600,1041
54700,1029
54800,1046
54900,1032
55000,1086
55100,1052
55200,1039
55300,1045
55400,1149
55500,1052
55600,1048
55700,1038
55800,1055
55900,1052
56000,1088
56100,1056
56200,1050
56300,1051
56400,1075
56500,1054
56600,1069
56700,1062
56800,1059
56900,1060
57000,1061
57100,1059
57200,1059
57300,1067
57400,1055
57500,1062
57600,1070
57700,1075
57800,1069
57900,1080
58000,1072
58100,1077
58200,1089
58300,1079
58400,1086
58500,1079
58600,1088
58700,1091
58800,1094
58900,1089
59000,1105
59100,1128
59200,1113
59300,1105
59400,1093
59500,1093
59600,1103
59700,1103
59800,1105
59900,1100
60000,1115
60100,1114
60200,1107
60300,1108
60400,1117
60500,1119
60600,1121
60700,1130
60800,1115
60900,1125
61000,1113
61100,1119
61200,1122
61300,1120
61400,1113
61500,1124
61600,1129
61700,1130
61800,1143
61900,1142
62000,1144
62100,1128
62200,1145
62300,1138
62400,1145
62500,1146
62600,1140
62700,1152
62800,1147
62900,1155
63000,1149
63100,1148
63200,1150
63300,1147
63400,1147
63500,1162
63600,1155
63700,1157
63800,1163
63900,1161
64000,1174
64100,1173
64200,1173
64300,1172
64400,1171
64500,1172
64600,1181
64700,1184
64800,1180
64900,1186
65000,1190
65100,1176
65200,1182
65300,1186
65400,1171
65500,1178
65600,1071
65700,1179
65800,1079
65900,1181
66000,1194
66100,1200
66200,1307
66300,1109
66400,1210
66500,1215
66600,1102
66700,1098
66800,1215
66900,1217
67000,1214
67100,1234
67200,1233
67300,1226
67400,1122
67500,1220
67600,1217
67700,1224
67800,1219
67900,1222
68000,1236
68100,1232
68200,1233
68300,1229
68400,1233
68500,1239
68600,1235
68700,1239
68800,1236
68900,1249
69000,1246
69100,1244
69200,1266
69300,1246
69400,1246
69500,1236
69600,1241
69700,1256
69800,1256
69900,1256
70000,1263
70100,1258
70200,1262
70300,1263
70400,1268
70500,1265
70600,1266
70700,1264
70800,1275
70900,1280
71000,1281
71100,1275
71200,1283
71300,1288
71400,1286
71500,1282
71600,1277
71700,1336
71800,1282
71900,1285
72000,1364
72100,1310
72200,1307
72300,1296
72400,1299
72500,1303
72600,1305
72700,1306
72800,1301
72900,1305
73000,1305
73100,1301
73200,1327
73300,1304
73400,1312
73500,1304
73600,1306
73700,1456
73800,1307
73900,1322
74000,1343
74100,1328
74200,1318
74300,1328
74400,1334
74500,1324
74600,1324
74700,1324
74800,1335
74900,1328
75000,1333
75100,1333
75200,1334
75300,1335
75400,1350
75500,1340
75600,1338
75700,1339
75800,1344
75900,1338
76000,1348
76100,1342
76200,1346
76300,1366
76400,1366
76500,1392
76600,1357
76700,1397
76800,1374
76900,1363
77000,1366
77100,1377
77200,1383
77300,1381
77400,1369
77500,1374
77600,1365
77700,1366
77800,1364
77900,1367
78000,1385
78100,1395
78200,1371
78300,1406
78400,1389
78500,1392
78600,1402
78700,1401
78800,1397
78900,1397
79000,1386
79100,1429
79200,1398
79300,1398
79400,1413
79500,1415
79600,1393
79700,1413
79800,1412
79900,1404
80000,1401
80100,1405
80200,1404
80300,1417
80400,1420
80500,1426
80600,1414
80700,1410
80800,1419
80900,1415
81000,1421
81100,1429
81200,1435
81300,1424
81400,1436
81500,1429
81600,1424
81700,1418
81800,1421
81900,1423
82000,1442
82100,1446
82200,1459
82300,1463
82400,1469
82500,1476
82600,1483
82700,1489
82800,1482
82900,1497
83000,1503
83100,1514
83200,1527
83300,1526
83400,1531
83500,1523
83600,1533
83700,1538
83800,1545
83900,1581
84000,1556
84100,1559
84200,1574
84300,1586
84400,1580
84500,1596
84600,1625
84700,1612
84800,1604
84900,1620
