Size,Time
500,15
600,19
700,25
800,30
900,34
1000,38
1100,49
1200,47
1300,52
1400,62
1500,67
1600,71
1700,81
1800,80
1900,84
2000,88
2100,94
2200,98
2300,101
2400,105
2500,124
2600,117
2700,128
2800,139
2900,144
3000,154
3100,170
3200,258
3300,195
3400,188
3500,210
3600,201
3700,197
3800,198
3900,191
4000,194
4100,206
4200,212
4300,209
4400,213
4500,257
4600,223
4700,228
4800,240
4900,236
5000,240
5100,245
5200,257
5300,279
5400,279
5500,292
5600,309
5700,308
5800,321
5900,317
6000,328
6100,328
6200,342
6300,338
6400,343
6500,346
6600,351
6700,374
6800,363
6900,366
7000,372
7100,388
7200,383
7300,405
7400,391
7500,397
7600,405
7700,420
7800,420
7900,423
8000,433
8100,438
8200,440
8300,449
8400,452
8500,452
8600,454
8700,477
8800,578
8900,577
9000,609
9100,602
9200,484
9300,488
9400,506
9500,502
9600,511
9700,512
9800,512
9900,531
10000,524
10100,540
10200,532
10300,543
10400,561
10500,567
10600,588
10700,605
10800,614
10900,612
11000,625
11100,639
11200,667
11300,663
11400,670
11500,679
11600,680
11700,678
11800,681
11900,690
12000,694
12100,701
12200,707
12300,708
12400,711
12500,727
12600,725
12700,734
12800,742
12900,750
13000,748
13100,764
13200,760
13300,766
13400,768
13500,779
13600,783
13700,797
13800,804
13900,799
14000,810
14100,814
14200,813
14300,826
14400,826
14500,837
14600,838
14700,839
14800,856
14900,861
15000,869
15100,866
15200,873
15300,872
15400,878
15500,889
15600,905
15700,905
15800,895
15900,917
16000,920
16100,927
16200,923
16300,935
16400,935
16500,938
16600,948
16700,969
16800,961
16900,982
17000,991
17100,989
17200,1007
17300,998
17400,1000
17500,1010
17600,1024
17700,1048
17800,1029
17900,1053
18000,1036
18100,1045
18200,1065
18300,1054
18400,1054
18500,1062
18600,1067
18700,1073
18800,1095
18900,1095
19000,1106
19100,1115
19200,1111
19300,1126
19400,1109
19500,1121
19600,1144
19700,1149
19800,1133
19900,1169
20000,1148
20100,1157
20200,1172
20300,1165
20400,1177
20500,1189
20600,1188
20700,1207
20800,1221
20900,1239
21000,1253
21100,1251
21200,1303
21300,1286
21400,1298
21500,1315
21600,1327
21700,1337
21800,1352
21900,1367
22000,1383
22100,1387
22200,1395
22300,1397
22400,1414
22500,1419
22600,1437
22700,1442
22800,1434
22900,1460
23000,1455
23100,1464
23200,1641
23300,1478
23400,1496
23500,1494
23600,1511
23700,1510
23800,1504
23900,1499
24000,1507
24100,1514
24200,1551
24300,1539
24400,1524
24500,1532
24600,1529
24700,1550
24800,1548
24900,1568
25000,1561
25100,1576
25200,1579
25300,1587
25400,1605
25500,1621
25600,1629
25700,1625
25800,1644
25900,1644
26000,1653
26100,1651
26200,1638
26300,1647
26400,1655
26500,1674
26600,1657
26700,1679
26800,1674
26900,1687
27000,1692
27100,1708
27200,1703
27300,1720
27400,1724
27500,1727
27600,1734
27700,1737
27800,1745
27900,1748
28000,1754
28100,1754
28200,1767
28300,1779
28400,1786
28500,1792
28600,1792
28700,1802
28800,1806
28900,1801
29000,1817
29100,1812
29200,1823
29300,1831
29400,1877
29500,2032
29600,1851
29700,1860
29800,1857
29900,1868
30000,1919
30100,2017
30200,1888
30300,1878
30400,1884
30500,1906
30600,1898
30700,1900
30800,1907
30900,1924
31000,1927
31100,1926
31200,1941
31300,1964
31400,1948
31500,1961
31600,1964
31700,1981
31800,1975
31900,1973
32000,1985
32100,1981
32200,1992
32300,1996
32400,2012
32500,2018
32600,2011
32700,2016
32800,2027
32900,1972
33000,2043
33100,1991
33200,2067
33300,2068
33400,2014
33500,2086
33600,2028
33700,2102
33800,2112
33900,2113
34000,2114
34100,2116
34200,2129
34300,2137
34400,2144
34500,2141
34600,2186
34700,2204
34800,2161
34900,2166
35000,2165
35100,2175
35200,2177
35300,2244
35400,2190
35500,2203
35600,2209
35700,2205
35800,2225
35900,2219
36000,2242
36100,2228
36200,2235
36300,2240
36400,2232
36500,2250
36600,2250
36700,2261
36800,2261
36900,2259
37000,2285
37100,2285
37200,2298
37300,2300
37400,2316
37500,2322
37600,2324
37700,2321
37800,2331
37900,2357
38000,2350
38100,2337
38200,2339
38300,2354
38400,2367
38500,2364
38600,2365
38700,2379
38800,2378
38900,2391
39000,2398
39100,2399
39200,2408
39300,2418
39400,2416
39500,2417
39600,2431
39700,2446
39800,2441
39900,2443
40000,2462
40100,2450
40200,2552
40300,2469
40400,2468
40500,2482
40600,2490
40700,2499
40800,2614
40900,2486
41000,2490
41100,2519
41200,2528
41300,2555
41400,2574
41500,2579
41600,2598
41700,2607
41800,2627
41900,2641
42000,2639
42100,2653
42200,2672
42300,2693
42400,2688
42500,2701
42600,2725
42700,2732
42800,2732
42900,2760
43000,2769
43100,2773
43200,2780
43300,2805
43400,2819
43500,2828
43600,2838
43700,2854
43800,2862
43900,2858
44000,2867
44100,2882
44200,2904
44300,2908
44400,2915
44500,2920
44600,2927
44700,2950
44800,2954
44900,2965
45000,2978
45100,2972
45200,2994
45300,3000
45400,2997
45500,3022
45600,3027
45700,3031
45800,3033
45900,3045
46000,3063
46100,3069
46200,3066
46300,3071
46400,3074
46500,3101
46600,3089
46700,3101
46800,3111
46900,3102
47000,3099
47100,3113
47200,3132
47300,3137
47400,3128
47500,3145
47600,3147
47700,3143
47800,3155
47900,3214
48000,3156
48100,3162
48200,3178
48300,3182
48400,3182
48500,3199
48600,3216
48700,3203
48800,3199
48900,3207
49000,3200
49100,3205
49200,3256
49300,3227
49400,3232
49500,3243
49600,3254
49700,3269
49800,3273
49900,3284
50000,3294
50100,3289
50200,3307
50300,3328
50400,3325
50500,3327
50600,3334
50700,3339
50800,3338
50900,3348
51000,3364
51100,3359
51200,3363
51300,3364
51400,3413
51500,3390
51600,3382
51700,3388
51800,3407
51900,3401
52000,3409
52100,3411
52200,3424
52300,3425
52400,3426
52500,3460
52600,3446
52700,3456
52800,3468
52900,3470
53000,3495
53100,3488
53200,3474
53300,3478
53400,3481
53500,3499
53600,3509
53700,3511
53800,3511
53900,3517
54000,3535
54100,3533
54200,3537
54300,3553
54400,3556
54500,3593
54600,3605
54700,3561
54800,3588
54900,3575
55000,3811
55100,3590
55200,3606
55300,3596
55400,3670
55500,3620
55600,3625
55700,3615
55800,3653
55900,3635
56000,3638
56100,3645
56200,3666
56300,3649
56400,3671
56500,3665
56600,3673
56700,3682
56800,3686
56900,3683
57000,3690
57100,3686
57200,3701
57300,3713
57400,3710
57500,3716
57600,3733
57700,3811
57800,3744
57900,3750
58000,3752
58100,3777
58200,3792
58300,3813
58400,3782
58500,3796
58600,3801
58700,3809
58800,3814
58900,3826
59000,3807
59100,3827
59200,3843
59300,3821
59400,3858
59500,3845
59600,3854
59700,3862
59800,3867
59900,3892
60000,3874
60100,3982
60200,3897
60300,3889
60400,3904
60500,3915
60600,3950
60700,3925
60800,3921
60900,3928
61000,3934
61100,3943
61200,3956
61300,3959
61400,3994
61500,3969
61600,3959
61700,3973
61800,4102
61900,3997
62000,4026
62100,3987
62200,3998
62300,4015
62400,4028
62500,4031
62600,4019
62700,4018
