Size,Time
500,6
600,7
700,10
800,11
900,12
1000,13
1100,14
1200,15
1300,17
1400,21
1500,23
1600,23
1700,25
1800,26
1900,26
2000,28
2100,30
2200,30
2300,31
2400,32
2500,34
2600,37
2700,40
2800,54
2900,47
3000,47
3100,63
3200,62
3300,72
3400,64
3500,68
3600,55
3700,65
3800,56
3900,58
4000,60
4100,60
4200,62
4300,63
4400,65
4500,90
4600,86
4700,81
4800,70
4900,73
5000,73
5100,74
5200,86
5300,84
5400,90
5500,90
5600,94
5700,97
5800,99
5900,101
6000,102
6100,103
6200,105
6300,105
6400,104
6500,110
6600,106
6700,107
6800,121
6900,113
7000,113
7100,113
7200,123
7300,116
7400,117
7500,119
7600,120
7700,121
7800,123
7900,125
8000,126
8100,125
8200,126
8300,130
8400,131
8500,133
8600,141
8700,137
8800,232
8900,224
9000,232
9100,237
9200,140
9300,157
9400,146
9500,148
9600,151
9700,148
9800,160
9900,153
10000,164
10100,155
10200,160
10300,160
10400,165
10500,168
10600,174
10700,176
10800,181
10900,204
11000,189
11100,195
11200,195
11300,198
11400,202
11500,202
11600,207
11700,208
11800,218
11900,220
12000,211
12100,213
12200,215
12300,218
12400,225
12500,222
12600,223
12700,221
12800,220
12900,225
13000,232
13100,226
13200,231
13300,227
13400,238
13500,233
13600,240
13700,233
13800,231
13900,244
14000,237
14100,237
14200,242
14300,238
14400,244
14500,244
14600,245
14700,255
14800,259
14900,249
15000,251
15100,256
15200,258
15300,257
15400,261
15500,268
15600,263
15700,279
15800,280
15900,268
16000,269
16100,267
16200,267
16300,277
16400,269
16500,273
16600,279
16700,287
16800,282
16900,289
17000,294
17100,295
17200,304
17300,291
17400,292
17500,312
17600,304
17700,305
17800,302
17900,307
18000,309
18100,315
18200,311
18300,319
18400,315
18500,322
18600,320
18700,328
18800,324
18900,333
19000,348
19100,329
19200,335
19300,338
19400,343
19500,363
19600,342
19700,340
19800,348
19900,342
20000,363
20100,345
20200,348
20300,364
20400,355
20500,368
20600,357
20700,373
20800,373
20900,373
21000,386
21100,399
21200,395
21300,395
21400,401
21500,410
21600,411
21700,433
21800,420
21900,421
22000,420
22100,450
22200,443
22300,436
22400,440
22500,441
22600,452
22700,446
22800,464
22900,444
23000,447
23100,466
23200,569
23300,459
23400,467
23500,467
23600,475
23700,461
23800,477
23900,480
24000,485
24100,481
24200,483
24300,494
24400,490
24500,480
24600,505
24700,497
24800,511
24900,499
25000,508
25100,505
25200,504
25300,510
25400,506
25500,510
25600,512
25700,503
25800,503
25900,517
26000,505
26100,514
26200,550
26300,519
26400,520
26500,517
26600,525
26700,513
26800,524
26900,553
27000,529
27100,528
27200,531
27300,541
27400,532
27500,534
27600,557
27700,543
27800,550
27900,539
28000,551
28100,545
28200,556
28300,555
28400,560
28500,550
28600,553
28700,555
28800,579
28900,568
29000,557
29100,557
29200,579
29300,569
29400,682
29500,594
29600,572
29700,572
29800,569
29900,588
30000,597
30100,803
30200,584
30300,586
30400,584
30500,584
30600,584
30700,587
30800,587
30900,598
31000,611
31100,612
31200,601
31300,617
31400,614
31500,614
31600,628
31700,622
31800,619
31900,625
32000,621
32100,619
32200,613
32300,612
32400,617
32500,617
32600,612
32700,624
32800,627
32900,574
33000,646
33100,583
33200,633
33300,647
33400,599
33500,639
33600,585
33700,649
33800,639
33900,653
34000,652
34100,646
34200,667
34300,656
34400,653
34500,660
34600,662
34700,665
34800,655
34900,658
35000,666
35100,672
35200,661
35300,669
35400,680
35500,679
35600,685
35700,684
35800,676
35900,696
36000,688
36100,687
36200,690
36300,698
36400,693
36500,691
36600,699
36700,693
36800,690
36900,706
37000,709
37100,708
37200,740
37300,712
37400,716
37500,720
37600,718
37700,729
37800,743
37900,728
38000,715
38100,731
38200,725
38300,723
38400,737
38500,721
38600,721
38700,718
38800,726
38900,737
39000,737
39100,734
39200,751
39300,754
39400,748
39500,757
39600,761
39700,765
39800,758
39900,755
40000,767
40100,755
40200,889
40300,772
40400,772
40500,784
40600,772
40700,765
40800,777
40900,774
41000,771
41100,790
41200,792
41300,790
41400,792
41500,808
41600,819
41700,812
41800,815
41900,825
42000,827
42100,831
42200,841
42300,852
42400,841
42500,853
42600,848
42700,854
42800,860
42900,852
43000,855
43100,871
43200,889
43300,889
43400,877
43500,893
43600,891
43700,907
43800,919
43900,911
44000,909
44100,912
44200,934
44300,931
44400,929
44500,940
44600,946
44700,946
44800,994
44900,960
45000,951
45100,979
45200,964
45300,962
45400,980
45500,967
45600,981
45700,978
45800,968
45900,978
46000,976
46100,970
46200,970
46300,979
46400,986
46500,993
46600,990
46700,1005
46800,995
46900,993
47000,1010
47100,1001
47200,1020
47300,1010
47400,1018
47500,1028
47600,1020
47700,1015
47800,1013
47900,1017
48000,1017
48100,1012
48200,1021
48300,1015
48400,1017
48500,1019
48600,1023
48700,1024
48800,1021
48900,1025
49000,1015
49100,1026
49200,1094
49300,1031
49400,1056
49500,1053
49600,1050
49700,1063
49800,1061
49900,1063
50000,1064
50100,1064
50200,1057
50300,1067
50400,1076
50500,1065
50600,1062
50700,1059
50800,1071
50900,1071
51000,1070
51100,1066
51200,1055
51300,1086
51400,1076
51500,1079
51600,1086
51700,1093
51800,1078
51900,1078
52000,1109
52100,1090
52200,1081
52300,1102
52400,1091
52500,1103
52600,1093
52700,1090
52800,1119
52900,1111
53000,1099
53100,1095
53200,1106
53300,1094
53400,1100
53500,1110
53600,1106
53700,1112
53800,1123
53900,1119
54000,1115
54100,1126
54200,1126
54300,1119
54400,1126
54500,1123
54600,1113
54700,1128
54800,1137
54900,1130
55000,1233
55100,1137
55200,1140
55300,1132
55400,1252
55500,1148
55600,1149
55700,1154
55800,1145
55900,1145
56000,1155
56100,1150
56200,1157
56300,1153
56400,1154
56500,1156
56600,1159
56700,1168
56800,1167
56900,1160
57000,1167
57100,1162
57200,1161
57300,1171
57400,1177
57500,1183
57600,1174
57700,1168
57800,1190
57900,1237
58000,1183
58100,1185
58200,1174
58300,1191
58400,1187
58500,1189
58600,1194
58700,1202
58800,1203
58900,1199
59000,1176
59100,1198
59200,1195
59300,1198
59400,1190
59500,1205
59600,1199
59700,1190
59800,1212
59900,1219
60000,1207
60100,1217
60200,1210
60300,1213
60400,1216
60500,1214
60600,1227
60700,1220
60800,1214
60900,1219
61000,1224
61100,1226
61200,1228
61300,1229
61400,1228
61500,1219
61600,1222
61700,1230
61800,1251
61900,1245
62000,1240
62100,1249
62200,1253
62300,1288
62400,1273
62500,1266
62600,1252
62700,1260
62800,1262
62900,1270
63000,1260
63100,1260
63200,1271
63300,1261
63400,1284
63500,1284
63600,1315
63700,1290
63800,1279
63900,1303
64000,1300
64100,1276
64200,1286
64300,1270
64400,1268
64500,1279
64600,1280
64700,1274
64800,1280
64900,1290
65000,1276
65100,1283
65200,1301
65300,1297
65400,1286
65500,1276
65600,1203
65700,1302
65800,1201
65900,1302
66000,1303
66100,1308
66200,1571
66300,1232
66400,1329
66500,1614
66600,1231
66700,1231
66800,1334
66900,1332
67000,1348
67100,1338
67200,1345
67300,1343
67400,1235
67500,1341
67600,1344
67700,1352
67800,1351
67900,1357
68000,1358
68100,1380
68200,1354
68300,1353
68400,1352
68500,1356
68600,1360
68700,1373
68800,1362
68900,1364
69000,1368
69100,1362
69200,1365
69300,1369
69400,1371
69500,1364
69600,1379
69700,1382
69800,1382
69900,1385
70000,1392
70100,1397
70200,1399
70300,1393
70400,1390
70500,1399
70600,1410
70700,1416
70800,1411
70900,1420
71000,1421
71100,1415
71200,1428
71300,1466
71400,1414
71500,1434
71600,1413
71700,1425
71800,1442
71900,1433
72000,1598
72100,1435
72200,1462
72300,1435
72400,1448
72500,1444
72600,1430
72700,1445
72800,1433
72900,1445
73000,1439
73100,1438
73200,1445
73300,1447
73400,1446
73500,1445
73600,1452
73700,1576
73800,1474
73900,1458
74000,1483
74100,1466
74200,1481
74300,1476
74400,1475
74500,1482
74600,1475
74700,1476
74800,1491
74900,1492
75000,1509
75100,1512
75200,1506
75300,1499
75400,1498
75500,1498
75600,1496
75700,1504
75800,1496
75900,1501
76000,1515
76100,1521
76200,1510
76300,1512
76400,1502
76500,1521
76600,1504
76700,1506
76800,1505
76900,1572
77000,1526
77100,1514
77200,1508
77300,1515
77400,1523
77500,1511
77600,1517
77700,1514
77800,1527
77900,1519
78000,1528
78100,1544
78200,1534
78300,1542
78400,1539
78500,1542
78600,1545
78700,1554
78800,1553
78900,1551
79000,1570
79100,1571
79200,1564
79300,1568
79400,1570
79500,1559
79600,1562
79700,1562
79800,1566
79900,1579
80000,1577
80100,1587
80200,1578
80300,1586
80400,1595
80500,1634
80600,1585
80700,1594
80800,1592
80900,1598
81000,1593
81100,1590
81200,1603
81300,1588
81400,1592
81500,1594
81600,1605
81700,1597
81800,1599
81900,1600
