Size,Time
500,18
600,22
700,25
800,29
900,32
1000,36
1100,41
1200,44
1300,47
1400,52
1500,55
1600,59
1700,63
1800,66
1900,70
2000,74
2100,79
2200,83
2300,86
2400,90
2500,93
2600,100
2700,102
2800,106
2900,111
3000,116
3100,145
3200,130
3300,189
3400,149
3500,138
3600,141
3700,146
3800,199
3900,157
4000,157
4100,154
4200,159
4300,174
4400,177
4500,234
4600,177
4700,182
4800,187
4900,196
5000,194
5100,195
5200,203
5300,208
5400,212
5500,219
5600,218
5700,227
5800,230
5900,233
6000,229
6100,234
6200,239
6300,240
6400,255
6500,253
6600,262
6700,259
6800,266
6900,274
7000,290
7100,272
7200,277
7300,282
7400,300
7500,305
7600,304
7700,299
7800,305
7900,306
8000,309
8100,310
8200,313
8300,319
8400,335
8500,339
8600,336
8700,341
8800,587
8900,519
9000,600
9100,598
9200,375
9300,380
9400,372
9500,383
9600,383
9700,387
9800,387
9900,391
10000,402
10100,394
10200,394
10300,410
10400,418
10500,416
10600,419
10700,420
10800,423
10900,435
11000,446
11100,450
11200,444
11300,441
11400,446
11500,455
11600,455
11700,469
11800,473
11900,466
12000,477
12100,472
12200,477
12300,483
12400,493
12500,507
12600,498
12700,497
12800,515
12900,510
13000,519
13100,518
13200,524
13300,533
13400,540
13500,543
13600,547
13700,553
13800,560
13900,562
14000,557
14100,564
14200,560
14300,567
14400,584
14500,581
14600,593
14700,594
14800,588
14900,592
15000,588
15100,598
15200,605
15300,604
15400,600
15500,614
15600,613
15700,616
15800,627
15900,635
16000,644
16100,647
16200,634
16300,632
16400,639
16500,674
16600,654
16700,698
16800,664
16900,681
17000,679
17100,693
17200,694
17300,703
17400,716
17500,711
17600,720
17700,753
17800,733
17900,760
18000,745
18100,745
18200,743
18300,750
18400,763
18500,765
18600,780
18700,792
18800,775
18900,799
19000,801
19100,791
19200,794
19300,802
19400,805
19500,815
19600,813
19700,820
19800,834
19900,834
20000,831
20100,836
20200,832
20300,839
20400,857
20500,856
20600,872
20700,859
20800,881
20900,860
21000,863
21100,887
21200,897
21300,882
21400,903
21500,920
21600,912
21700,903
21800,900
21900,939
22000,941
22100,947
22200,937
22300,948
22400,925
22500,944
22600,934
22700,936
22800,952
22900,953
23000,968
23100,961
23200,970
23300,978
23400,961
23500,985
23600,981
23700,980
23800,1004
23900,1004
24000,996
24100,1004
24200,993
24300,1017
24400,1014
