Size,Time
500,38
600,44
700,55
800,58
900,63
1000,71
1100,78
1200,84
1300,93
1400,99
1500,120
1600,113
1700,125
1800,128
1900,137
2000,156
2100,156
2200,233
2300,168
2400,177
2500,187
2600,193
2700,206
2800,215
2900,219
3000,241
3100,239
3200,292
3300,321
3400,287
3500,270
3600,276
3700,321
3800,373
3900,297
4000,302
4100,310
4200,332
4300,361
4400,341
4500,370
4600,463
4700,417
4800,385
4900,383
5000,391
5100,405
5200,415
5300,414
5400,428
5500,441
5600,442
5700,448
5800,464
5900,468
6000,481
6100,492
6200,533
6300,501
6400,517
6500,528
6600,527
6700,550
6800,555
6900,552
7000,571
7100,588
7200,580
7300,581
7400,626
7500,618
7600,630
7700,639
7800,644
7900,655
8000,657
8100,680
8200,670
8300,693
8400,717
8500,712
8600,704
8700,717
8800,852
8900,1010
9000,1034
9100,1040
9200,926
9300,775
9400,780
9500,796
9600,794
9700,808
9800,816
9900,825
10000,825
10100,838
10200,843
10300,876
10400,866
10500,879
10600,896
10700,901
10800,906
10900,914
11000,940
11100,952
11200,947
11300,944
11400,948
11500,970
11600,980
11700,987
11800,988
11900,1015
12000,1011
12100,1014
12200,1027
12300,1028
12400,1038
12500,1084
12600,1063
12700,1083
12800,1095
12900,1103
13000,1136
13100,1123
13200,1138
13300,1140
13400,1147
13500,1157
13600,1176
13700,1192
13800,1185
13900,1190
14000,1203
14100,1207
14200,1213
14300,1213
14400,1228
14500,1264
14600,1253
14700,1263
14800,1281
14900,1279
15000,1290
15100,1287
15200,1316
15300,1308
15400,1312
15500,1330
15600,1347
15700,1355
15800,1359
15900,1369
16000,1391
16100,1386
16200,1379
16300,1392
16400,1402
16500,1441
16600,1430
16700,1455
16800,1457
16900,1468
17000,1490
17100,1482
17200,1583
17300,1523
17400,1521
17500,1548
17600,1569
17700,1562
17800,1559
17900,1572
18000,1586
18100,1614
18200,1595
18300,1600
18400,1621
18500,1600
18600,1609
18700,1628
18800,1634
18900,1679
19000,1663
19100,1680
19200,1702
19300,1685
19400,1695
19500,1728
19600,1717
19700,1738
19800,1750
19900,1737
20000,1776
20100,1774
20200,1767
20300,1771
20400,1798
20500,1789
20600,1805
20700,1826
20800,1826
20900,1842
21000,1834
21100,1851
21200,1879
21300,1884
21400,1915
21500,1895
21600,1903
21700,1921
21800,1936
21900,1962
22000,1993
22100,1949
22200,1964
22300,1983
22400,1990
22500,1989
22600,1996
22700,2003
22800,2029
22900,2031
23000,2027
23100,2047
23200,2041
23300,2203
23400,2089
23500,2081
23600,2136
23700,2088
23800,2106
23900,2110
24000,2112
24100,2130
24200,2135
24300,2165
24400,2159
24500,2164
24600,2163
24700,2184
24800,2180
24900,2236
25000,2219
25100,2237
25200,2221
25300,2252
25400,2253
25500,2267
25600,2269
25700,2284
25800,2281
25900,2298
26000,2323
26100,2325
26200,2328
26300,2341
26400,2361
26500,2348
26600,2357
26700,2376
26800,2402
26900,2415
27000,2423
27100,2426
27200,2425
27300,2427
27400,2450
27500,2446
27600,2459
27700,2458
27800,2477
27900,2482
28000,2499
28100,2538
28200,2517
28300,2522
28400,2533
28500,2535
28600,2528
28700,2547
28800,2547
28900,2552
29000,2557
29100,2595
29200,2608
29300,2622
29400,2615
29500,2830
29600,2658
29700,2654
29800,2657
29900,2660
30000,2677
30100,2671
30200,2706
30300,2706
30400,2708
30500,2701
30600,2715
30700,2728
30800,2740
30900,2748
31000,2754
31100,2753
31200,2793
31300,2796
31400,2847
31500,2802
31600,2817
31700,2833
31800,2841
31900,2827
32000,2866
32100,2859
32200,2852
32300,2867
32400,2871
32500,2872
32600,2878
32700,2876
32800,2896
32900,2925
33000,2953
33100,2943
33200,2962
33300,3007
33400,2993
33500,3004
33600,3005
33700,3024
33800,2985
33900,3044
34000,3048
34100,3066
34200,3079
34300,3105
34400,3105
34500,3135
34600,3124
34700,3131
34800,3152
34900,3107
35000,3188
35100,3198
35200,3180
35300,3202
35400,3221
35500,3225
35600,3228
35700,3230
35800,3236
35900,3204
36000,3265
36100,3257
36200,3269
36300,3286
36400,3271
36500,3288
36600,3297
36700,3288
36800,3292
36900,3251
37000,3310
37100,3337
37200,3350
37300,3343
37400,3376
37500,3385
37600,3388
37700,3399
37800,3409
37900,3363
38000,3434
38100,3447
38200,3449
38300,3446
38400,3475
38500,3486
38600,3493
38700,3495
38800,3492
38900,3515
39000,3493
39100,3542
39200,3570
39300,3572
39400,3553
39500,3580
39600,3579
39700,3606
39800,3599
39900,3608
40000,3576
40100,3698
40200,3638
40300,3666
40400,3664
40500,3658
40600,3673
40700,3684
40800,3678
40900,3663
41000,3631
41100,3684
41200,3719
41300,3725
41400,3729
41500,3771
41600,3753
41700,3783
41800,3787
41900,3799
42000,3763
42100,3815
42200,3824
42300,3850
42400,3865
42500,3840
42600,4039
42700,3889
42800,3891
42900,3912
43000,3920
43100,3871
43200,3925
43300,3939
43400,4081
43500,3959
43600,3987
43700,3981
43800,3988
43900,4005
44000,3982
44100,3951
44200,4025
44300,4025
44400,4033
44500,4041
44600,4058
44700,4058
44800,4056
44900,4069
45000,4109
45100,4041
45200,4086
45300,4120
45400,4119
45500,4134
45600,4138
45700,4154
45800,4167
45900,4180
46000,4179
46100,4136
46200,4203
46300,4204
46400,4222
46500,4237
46600,4239
46700,4281
46800,4254
46900,4285
47000,4272
47100,4211
47200,4279
47300,4301
47400,4303
47500,4305
47600,4312
47700,4326
47800,4329
47900,4338
48000,4321
48100,4327
48200,4314
48300,4348
48400,4385
48500,4433
48600,4422
48700,4404
48800,4441
48900,4417
49000,4406
49100,4431
49200,4388
49300,4460
49400,4462
49500,4533
49600,4498
49700,4536
49800,4514
49900,4509
50000,4542
50100,4546
50200,4489
50300,4562
50400,4612
50500,4599
50600,4609
50700,4622
50800,4766
50900,4630
51000,4628
51100,4658
51200,4626
51300,4695
51400,4905
51500,4724
51600,4697
51700,4720
51800,4730
51900,4747
52000,4757
52100,4751
52200,4769
52300,4727
52400,4769
52500,4809
52600,4811
52700,4829
52800,4845
52900,4830
53000,4853
53100,4853
53200,4863
53300,4818
53400,4882
53500,4896
53600,4892
53700,4917
53800,4914
53900,4933
54000,4960
54100,4990
