Size,Time
500,17
600,21
700,25
800,28
900,32
1000,36
1100,40
1200,43
1300,46
1400,50
1500,53
1600,57
1700,62
1800,64
1900,69
2000,72
2100,78
2200,82
2300,85
2400,88
2500,90
2600,96
2700,112
2800,103
2900,107
3000,137
3100,123
3200,118
3300,168
3400,127
3500,130
3600,132
3700,178
3800,189
3900,144
4000,146
4100,149
4200,156
4300,160
4400,168
4500,198
4600,187
4700,177
4800,181
4900,184
5000,193
5100,190
5200,195
5300,200
5400,213
5500,208
5600,213
5700,227
5800,219
5900,232
6000,224
6100,237
6200,234
6300,252
6400,243
6500,247
6600,257
6700,262
6800,260
6900,276
7000,267
7100,275
7200,274
7300,290
7400,287
7500,286
7600,287
7700,309
7800,295
7900,303
8000,303
8100,304
8200,304
8300,312
8400,335
8500,323
8600,347
8700,352
8800,487
8900,573
9000,604
9100,585
9200,351
9300,369
9400,368
9500,367
9600,394
9700,378
9800,391
9900,379
10000,392
10100,386
10200,401
10300,391
10400,407
10500,402
10600,412
10700,424
10800,435
10900,419
11000,425
11100,431
11200,434
11300,436
11400,463
11500,449
11600,449
11700,450
11800,453
11900,455
12000,453
12100,473
12200,469
12300,485
12400,484
12500,490
12600,501
12700,501
12800,495
12900,502
13000,495
13100,510
13200,514
13300,514
13400,530
13500,528
13600,538
13700,555
13800,536
13900,561
14000,544
14100,545
14200,555
14300,556
14400,561
14500,566
14600,562
14700,586
14800,588
14900,591
15000,590
15100,590
15200,599
15300,593
15400,598
15500,606
15600,625
15700,630
15800,621
15900,614
16000,616
16100,617
16200,627
16300,624
16400,629
16500,631
16600,641
16700,673
16800,656
16900,673
17000,678
17100,681
17200,698
17300,687
17400,739
17500,712
17600,715
17700,718
17800,725
17900,743
18000,731
18100,731
18200,725
18300,735
18400,727
18500,740
18600,762
18700,761
18800,748
18900,758
19000,767
19100,781
19200,768
19300,786
19400,791
19500,778
19600,790
19700,804
19800,795
19900,805
20000,810
20100,797
20200,813
20300,802
20400,817
20500,824
20600,837
20700,842
20800,836
20900,865
21000,853
21100,871
21200,874
21300,868
21400,879
21500,906
21600,900
21700,888
21800,889
21900,896
22000,891
22100,923
22200,913
22300,898
22400,915
22500,918
22600,915
22700,914
22800,919
22900,928
23000,929
23100,939
23200,934
23300,969
23400,974
23500,970
23600,957
23700,956
23800,980
23900,973
24000,973
24100,973
24200,978
24300,971
24400,983
24500,1000
24600,996
24700,1006
24800,1013
24900,1012
25000,1024
25100,1022
25200,1041
25300,1050
25400,1038
25500,1059
25600,1070
25700,1053
25800,1055
25900,1072
26000,1076
26100,1073
26200,1087
26300,1093
26400,1096
26500,1104
26600,1113
26700,1112
26800,1111
26900,1104
27000,1125
27100,1129
27200,1139
27300,1134
27400,1134
27500,1141
27600,1139
27700,1141
27800,1152
27900,1169
28000,1157
28100,1152
28200,1162
28300,1167
28400,1169
28500,1168
28600,1165
28700,1170
28800,1177
28900,1190
29000,1182
29100,1215
29200,1189
29300,1220
29400,1238
29500,1239
29600,1343
29700,1261
29800,1258
29900,1327
30000,1252
30100,1256
30200,1261
30300,1269
30400,1272
30500,1278
30600,1274
30700,1267
30800,1287
